reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c53b139c-8133-4106-8451-f3642e973e35,Sara Hussein,https://play-lh.googleusercontent.com/a/ACg8ocKHE27T7UXXSDTJhF3_uK-8C26D8F56yuvx1dhjGOrJRdhkPw=mo,Won't let me update my payment methods!,1,0,3.11.0-rc2-2024.12.11,2025-01-08 10:02:02,,,3.11.0-rc2-2024.12.11
8010aa0c-96d9-448b-91ab-7378430ce2f8,James Frampton,https://play-lh.googleusercontent.com/a/ACg8ocLYDvuJNFuxxEd8h9Lfw_UD5a-y3JRpMOtAoO4qc9uTBpnpsw=mo,Download videos only to get error 39 for not having an Internet connection. Appalling considering how much I pay now,1,0,3.11.0-rc2-2024.12.11,2025-01-08 08:43:59,,,3.11.0-rc2-2024.12.11
6b3d3c3a-e233-4db6-a050-859075cf589b,Irene Kemp,https://play-lh.googleusercontent.com/a/ACg8ocKY67d3tOxkH0IqUvxZgcnhnb3otkbUU56Pe90CP-bMLDfgCA=mo,Slow,1,0,3.11.0-rc2-2024.12.11,2025-01-08 08:33:58,,,3.11.0-rc2-2024.12.11
05dbf4d1-387b-43b7-af57-4ad774a14b0e,Eric R,https://play-lh.googleusercontent.com/a/ACg8ocIUNBEkVTbrLL80Sd2aRqODjrBbZQjifFkslheC4uzgG3bPu4A=mo,stop harassing me with surveys to rate your app!!!,1,0,3.11.0-rc2-2024.12.11,2025-01-08 05:54:08,,,3.11.0-rc2-2024.12.11
51d3fd58-5da0-4eac-97cd-3bb1f2ad13bc,Joel Wells,https://play-lh.googleusercontent.com/a-/ALV-UjWx4LbCGJ4p3mk-0ZmovGlnFaZ7z9j6e7AFXDQ7-ASATcc0fZQ,Just putting a one star until the app on PS5 is fixed. Not even trying on my phone again but it wasn't working on there either the other night. It's been having errors and not working for several days now,1,0,,2025-01-08 05:13:46,"Hello! We appreciate your feedback and understand the challenges you've faced with the app on both PS5 and your phone. It’s important for us to hear about these issues, and we’re grateful for your patience. If you feel comfortable, please reach out through the app with more details so we can better assist you.",2025-01-08 17:13:17,
194c5efe-9c72-4a5f-b22a-d11abc7edb35,Siti Nurzainah,https://play-lh.googleusercontent.com/a/ACg8ocLN-bz8Ch3GZfo4z4lQv7rbS_OluklOCZrYQdufpjQdae5NEA=mo,No 2x speed on mobile. Regret paying for Subscription. Paid so much and they don't even have a SIMPLE feature,1,0,3.11.0-rc2-2024.12.11,2025-01-08 05:08:31,,,3.11.0-rc2-2024.12.11
d7fae032-6ca2-4514-a0db-18cd652807e2,Phantom Foxy,https://play-lh.googleusercontent.com/a-/ALV-UjW7cDsIf18mJ8Stlq-QBa12_HP7NwPZ86pQROCWFWO2w05TB5E,I'm getting sick and tired of my Disney plus crashing whenever an ad pops up cuz whenever a add finish.the show either stops playing or it crashes I'm disappointed in this app,1,0,3.11.1-rc1-2024.12.20,2025-01-08 04:32:22,"Hello! We hear your disappointment with the app crashing during ads, and it’s understandable to feel upset about this experience. Your feedback is important, and we appreciate you sharing it. Please reach out through the app for more details on the issues you're facing.",2025-01-08 17:15:06,3.11.1-rc1-2024.12.20
b0dabc7a-1437-4a3e-8ce7-ed1fb7a2ee0d,Naya robles,https://play-lh.googleusercontent.com/a-/ALV-UjWwMAmIMZZAwFJ3Fmp8xLaLYZUHqzT_NnSL_RQgigt3mSIKOsjCEQ,I do not give permission to Disney to do the listed following.,1,0,3.11.0-rc2-2024.12.11,2025-01-08 04:21:37,,,3.11.0-rc2-2024.12.11
ff09d7c5-5d87-4938-947a-581bd22ce369,Michael Skinner,https://play-lh.googleusercontent.com/a/ACg8ocLAXPDU_xhJWn18FCQfRrHzkMRxyCeCLFMaUNdJp8t2wRT22g=mo,Downloads don't work. Takes way to long to download.,1,0,,2025-01-08 03:56:00,"Hello! We appreciate your feedback about the long download times and understand how that can be disappointing. Your experience is important to us, and we encourage you to reach out through the app for more details so we can look into this further. Thank you for sharing!",2025-01-08 17:11:34,
3bd2d363-5af0-478c-84af-1538368b94c6,Jacob Fausnight,https://play-lh.googleusercontent.com/a-/ALV-UjVz6W7AjYmRvNVG9vC5au5o8ipCpZRHZ_qNt-NrcGEAchaU2tqQ,"Keeps requiring a code for my TV for no reason, so you get a bad review here",1,1,3.11.0-rc2-2024.12.11,2025-01-08 02:12:57,"Hello! We appreciate your feedback about the repeated code requests for your TV. It’s understandable that this can be irritating. Your experience is important to us, and we’re committed to ensuring smoother usage. Please consider reaching out through the app for further assistance.",2025-01-08 17:16:32,3.11.0-rc2-2024.12.11
0d8ebd59-c8d5-47ac-84df-3098b5ab3d34,Sheila Sampson,https://play-lh.googleusercontent.com/a-/ALV-UjXtLlmVtdgOcbbHzAGmlqgmNu6oSLLyHZRWKPFqQjbnXlMMcY8,"My Disney+ subscription is active, yet the Disney app demands an additional subscription. My bank statement shows a $15.99 charge. Streaming currently functions only on my Amazon Fire Stick. Despite uninstalling the app three times, the issue persists.",1,0,3.11.0-rc2-2024.12.11,2025-01-08 02:03:22,,,3.11.0-rc2-2024.12.11
69e80505-5959-400c-85bf-5b6eebfabea8,Jesse A.,https://play-lh.googleusercontent.com/a/ACg8ocKuRE9p_gcYmc7tqDHnzIzPirJbPo5Tsfd-HojlXSHKbCefWA=mo,Interface is terrible. Sucks at connecting to chrome cast. Subtitles turn themselves back on. So difficult to find how to turn them off since the app freezes and shuts down. We keep paying more each year for worse service.,1,0,3.11.0-rc2-2024.12.11,2025-01-08 01:33:21,,,3.11.0-rc2-2024.12.11
b1e5064d-41f3-465c-ab8c-eb9c61a08e35,Joe Carlson,https://play-lh.googleusercontent.com/a-/ALV-UjWe2B7snfsWp7JQmtU2t5H1QLv2lWgBvAekCq0U1Sbr9CkxciXD,App experience too many issues with Google Cast (Chromecast). App doesn't function properly and often has connectivity issues. It is missing a GUI design that works and doesn't offer proper playback controls like competitors.,1,0,3.11.0-rc2-2024.12.11,2025-01-08 01:25:14,,,3.11.0-rc2-2024.12.11
c2ba0fc9-0297-4eef-b8d5-f006f03b5420,Snoworld,https://play-lh.googleusercontent.com/a-/ALV-UjVAQm2aqbYdG6FRfvJDbvymZWFVhlTXLOJ8F3SaI-qySj7Yjam2,Doesn't have all the seasons of most of the shows. Why watch a show with 6 seasons if 3 and 4 are missing? Or the first one is missing? It makes me not wanna start shows so another streaming service canceled.,1,1,3.1.2-rc1,2025-01-07 22:56:37,,,3.1.2-rc1
773c68aa-aa1f-46cf-8346-ae59d57e944e,Josh Casey (Kilocharlie02),https://play-lh.googleusercontent.com/a-/ALV-UjW4Vm6BU7tCsztslv9URW-zmIXNqkTXv-yHCTQoDDfhVT5DRmNq,"download system sucks, once expired you have manually go through each one and renew... all 100 eps",1,0,3.11.1-rc1-2024.12.20,2025-01-07 22:44:11,,,3.11.1-rc1-2024.12.20
2ed6a6fa-ebd1-4cd9-bd73-fa7ce21e83af,Mrs. Squibbles,https://play-lh.googleusercontent.com/a-/ALV-UjWS3JuZCsJHBwmONJOCeS0w2qNR0lxtjI58hMMajHL74D5oK1voNg,"The Lock Screen Feature is TRASH! It doesn't work at all. No updates have fixed this problem & if it wasn't for my son's obsession with Disney, I would've ended my subscription a LOOOOOONG time ago",1,0,3.11.0-rc2-2024.12.11,2025-01-07 22:17:05,,,3.11.0-rc2-2024.12.11
f1c70c12-c2c5-4e54-a774-10976b99e703,Brian Fahrendorf,https://play-lh.googleusercontent.com/a-/ALV-UjXaCVfI6G5n4igk7HZitxCm-QABuAHGC5G7Gi2PNP0eDoHhGM27-g,"If I could lower my review, I would. Disney = Woke + Broke as a joke, soon Disney land will be up for sale the way it's going",1,0,3.11.1-rc1-2024.12.20,2025-01-07 21:20:10,"Sorry for the trouble, Brian. To fix the app, try reinstalling and restarting your device If you haven't already. Also, confirm if your able to sign up through the web instead. For 1:1 support, please contact us via chat or phone at 1-888-905-7888. We'd love to help!",2024-11-24 00:31:06,3.11.1-rc1-2024.12.20
3fea0da0-486b-4ac0-a71a-534943875e97,Luke Worrad,https://play-lh.googleusercontent.com/a/ACg8ocIBB3elPKOLmv7V_9sQLfDaAGaduLVUhLlgdXrk37391pnCJA=mo,"The most ridiculous log in system I've ever seen. You can't just log in with a Email and password like any other company does. No, you need to scan a QR code to get a 6 diget code followed by a one-time password from your email address your account is link too. Who ever made this system needs a brain scan.",1,0,3.11.0-rc2-2024.12.11,2025-01-07 21:08:19,,,3.11.0-rc2-2024.12.11
a4105fdb-beb0-4a4b-99a6-431f50861eec,Terry Li,https://play-lh.googleusercontent.com/a/ACg8ocKWZaJ93fOMfMKSUOz6ViN7F6f1ZLduL-_cep5YBzfxBvmewA=mo,"After the updated APP, it does not work on mobile Still can't watch 😕",1,1,3.11.0-rc2-2024.12.11,2025-01-07 20:54:14,"Hi Terry! We're sorry for the trouble! Please clear Disney+ cached data on your device, and try uninstalling and reinstalling the app. For more detailed assistance, please reach us at +1-888-905-7888. Our team will help you get this resolved. Thank you for your patience and understanding!",2024-11-14 01:57:29,3.11.0-rc2-2024.12.11
88b46a7d-edb7-4244-812e-03178fc53b6c,Delivered Band,https://play-lh.googleusercontent.com/a-/ALV-UjW6xlHh0E1HqSLNYf8wW1eexMOqHRBYLl8Lkv4Mg69W-zy5kBPN,Disney sucks. Cars and Coco are the only good things here. Don't buy Disney plus and waste your hard earned money on a subscription. just buy the 4k steelbook. its better trust me bro. thank you! let's get this the biggest Disney review out there if you like cars. yeah I'm talking to you. the one wearing the cars shirt.,1,0,3.11.0-rc2-2024.12.11,2025-01-07 20:28:28,,,3.11.0-rc2-2024.12.11
1b3e5875-a375-458e-a58f-9ad8eb07b40f,Playgames Forfree,https://play-lh.googleusercontent.com/a/ACg8ocJAS4SDxe-I-qaS-hC0cn9zMM9j9B28CWs2H6HQ_snltfxAxQ=mo,Sucks,1,0,,2025-01-07 20:23:56,,,
d024730e-8488-4408-83c4-8e6edb712a4c,Itdafuzz,https://play-lh.googleusercontent.com/a-/ALV-UjXBnXJQlJaowJquJOAlDyBbsLoMlzyPFdiGuvvabYnfnbK1Lwc,Doesn't open/work,1,0,3.11.0-rc2-2024.12.11,2025-01-07 20:16:26,"Hello! We're sorry for the trouble! Please clear Disney+ cached data on your device, and try uninstalling and reinstalling the app. For more detailed assistance, please reach us at +1-888-905-7888. Our team will help you get this resolved. Thank you for your patience and understanding!",2025-01-08 01:30:00,3.11.0-rc2-2024.12.11
